accession,genogroup,vp_genotype,pol_genotype,genotype,description,year,accession
KC175323,GII,GII4,GIIe,GIIPe_GII4,KC175323_CUHK3630_GIIPe_GII4_Sydney_2012,2012,KC175323
AB081723,GI,GI6,GIb,GIPb_GI6,AB081723_WUG1_GIPb_GI6,none,AB081723
JQ388274,GI,GI6,GIb,GIPb_GI6,JQ388274_ACT160D_GIPb_GI6,none,JQ388274
AB039774,GI,GI5,GIc,GIPc_GI5,AB039774_SzUG1_GIPc_GI5,none,AB039774
JQ911594,GI,GI3,GId,GIPd_GI3,JQ911594_10360_GIPd_GI3,none,JQ911594
AB187514,GI,GI3,GIf,GIPf_GI3,AB187514_Otofuke_GIPf_GI3,none,AB187514
NC,GI,GI1,GI1,GIP1_GI1,NC_001959_Norwalk_virus_GIP1_GI1,none,NC
FJ515294,GI,GI2,GI2,GIP2_GI2,FJ515294_Leuven_GIP2_GI2,none,FJ515294
KF306212,GI,GI2,GI2,GIP2_GI2,KF306212_2013401_GIP2_GI2,none,KF306212
KJ196292,GI,GI3,GI3,GIP3_GI3,KJ196292_KK2866_GIP3_GI3,none,KJ196292
AB042808,GI,GI4,GI4,GIP4_GI4,AB042808_Chiba_virus_GIP4_GI4,none,AB042808
AF093797,GI,GI6,GI6,GIP6_GI6,AF093797_Norwalk_virus_GIP6_GI6,none,AF093797
KU311161,GI,GI7,GI7,GIP7_GI7,KU311161_OU4_GIP7_GI7,none,KU311161
KJ196298,GI,GI8,GI8,GIP8_GI8,KJ196298_KY531_GIP8_GI8,none,KJ196298
KF586507,GI,GI9,GI9,GIP9_GI9,KF586507_CAIQ12110628_GIP9_GI9,none,KF586507
AY134748,GII,GII2,GIIc,GIIPc_GII2,AY134748_Snow_Mountain_virus_GIIPc_GII2,none,AY134748
LC209439,GII,GII2,GIIe,GIIPe_GII2,LC209439_Saitama127_GIIPe_GII2,none,LC209439
KT589391,GII,GII17,GIIe,GIIPe_GII17,KT589391_CUHKNS682_GIIPe_GII17,none,KT589391
MF405169,GII,GII2,GIIf,GIIPf_GII2,MF405169_HenrytonSP17_GIIPf_GII2,none,MF405169
LN854570,GII,GII2,GII2,GII2,LN854570_GII2_Groningen,none,LN854570
JX846924,GII,GII3,GIIg,GIIPg_GII3,JX846924_HK71_GIIPg_GII3,none,JX846924
HQ449728,GII,GII12,GIIg,GIIPg_GII12,HQ449728_HS210_GIIPg_GII12,none,HQ449728
DQ456824,GII,GII2,GII2,GIIP2_GII2,DQ456824_MK04_GIIP2_GII2,none,DQ456824
AB039781,GII,GII3,GII3,GIIP3_GII3,AB039781_Saitama_U18_GIIP3_GII3,none,AB039781
KJ196288,GII,GII5,GII5,GIIP5_GII5,KJ196288_Saitama_T52_GIIP5_GII5,none,KJ196288
JX989075,GII,GII6,GII6,GIIP6_GII6,JX989075_GZ2010L96_GIIP6_GII6,none,JX989075
AB039779,GII,GII6,GII6,GIIP6_GII6,AB039779_Saitama_U17_GIIP6_GII6,none,AB039779
AB039776,GII,GII6,GII7,GIIP7_GII6,AB039776_Saitama_U3_GIIP7_GII6,none,AB039776
JX846927,GII,GII6,GII7,GIIP7_GII6,JX846927_CHDC4073_GIIP7_GII6,none,JX846927
LN854568,GII,GII6,GII7,GIIP7_GII6,LN854568_GII6_Groningen_GIIP7_GII6,none,LN854568
KJ407072,GII,GII6,GII7,GIIP7_GII6,KJ407072_HS245_GIIP7_GII6,none,KJ407072
KJ196295,GII,GII7,GII7,GIIP7_GII7,KJ196295_TAKAsanKimchi_GIIP7_GII7,none,KJ196295
GU594162,GII,GII14,GII7,GIIP7_GII14,GU594162_8610_GIIP7_GII14,none,GU594162
AB039780,GII,GII8,GII8,GIIP8_GII8,AB039780_Saitama_U25_GIIP8_GII8,none,AB039780
HQ392821,GII.,GII.11,GII11,GIIP11_GII.11,HQ392821_Ch6_GIIP11_GII.11,none,HQ392821
AB126320,GII,GII11,GII11,GIIP11_GII11,AB126320_swine43_GIIP11_GII11,none,AB126320
LC209435,GII,GII2,GII12,GIIP12_GII2,LC209435_Tochigi92_GIIP12_GII2,none,LC209435
KF306213,GII,GII3,GII12,GIIP12_GII3,KF306213_2013402_GIIP12_GII3,none,KF306213
GU991355,GII,GII3,GII12,GIIP12_GII3,GU991355_SH312_GIIP12_GII3,none,GU991355
AY237415,GII,GII10,GII12,GIIP12_GII10,AY237415_Mc37_GIIP12_GII10,none,AY237415
AB039775,GII,GII12,GII12,GIIP12_GII12,AB039775_Saitama_U1_GIIP12_GII12,none,AB039775
KJ196276,GII,GII13,GII12,GIIP12_GII13,KJ196276_T80_GIIP12_GII13,none,KJ196276
MN227775,GIX,GIX1,GII15,GIIP15_GIX1,MN227775_Nassau0108_GIIP15_GIX1,none,MN227775
KY905337,GII,GII2,GII16,GIIP16_GII2,KY905337_QLDB512_GIIP16_GII2,none,KY905337
MK762627,GII,GII12,GII16,GIIP16_GII12,MK762627_Douglas0168_GIIP16_GII12,none,MK762627
KY887597,GII,GII3,GII16,GIIP16_GII3,KY887597_NOR2604_GIIP16_GII3,none,KY887597
KF895841,GII,GII3,GII16,GIIP16_GII3,KF895841_S1231_GIIP16_GII3,none,KF895841
KM036380,GII,GII13,GII16,GIIP16_GII13,KM036380_13BA1_GIIP16_GII13,none,KM036380
AY772730,GII,GII16,GII16,GIIP16_GII16,AY772730_Neustrelitz260_GIIP16_GII16,none,AY772730
KJ196286,GII,GII17,GII16,GIIP16_GII17,KJ196286_T87_GIIP16_GII17,none,KJ196286
AB983218,GII,GII17,GII17,GIIP17_GII17,AB983218_Kawasaki323_GIIP17_GII17,none,AB983218
AY823305,GII,GII18,GII18,GIIP18_GII18,AY823305_OHQW125_GIIP18_GII18,none,AY823305
EU921389,GII,GII3,GII21,GIIP21_GII3,EU921389_PC52_GIIP21_GII3,none,EU921389
MH218651,GII,GII13,GII21,GIIP21_GII13,MH218651_NORO_183_23_09_GIIP21_GII13,none,MH218651
KJ196284,GII,GII21,GII21,GIIP21_GII21,KJ196284_Kawasaki_YO284_GIIP21_GII21,none,KJ196284
KJ196277,GII,GII5,GII22,GIIP22_GII5,KJ196277_T49_GIIP22_GII5,none,KJ196277
AB083780,GII,GII22,GII22,GIIP22_GII22,AB083780_YURI_GIIP22_GII22,none,AB083780
AF097917,GIII,GIII,GIII,GIII,AF097917_Newbury2_GIII,none,AF097917
AY126474,GIII,GIII,GIII,GIII,AY126474_Dumfries94_GIII,none,AY126474
EU794907,GIII,GIII,GIII,GIII,EU794907_B309_GIII,none,EU794907
JF781268,GIV,GIV,GIV,GIV,JF781268_CU081210E_GIV,none,JF781268
KC894731,GIV,GIV,GIV,GIV,KC894731_CCDC_GR111359_GIV,none,KC894731
JQ613567,GIV,GIV,GIV,GIV,JQ613567_NSW268O_GIV,none,JQ613567
KX907728,GIV,GIV,GIV,GIV,KX907728_WI7002_GIV,none,KX907728
NC008311,GV,GV,GV,GV,NC008311_MNV_GV,none,NC008311
JX486101,GV,GV,GV,GV,JX486101_HKU_CT2_GV,none,JX486101
JX486102,GV,GV,GV,GV,JX486102_HKU_KT_GV,none,JX486102
MK067293,GVI,GVI,GVI,GVI,MK067293_AN1633_GVI,none,MK067293
MK067295,GVI,GVI,GVI,GVI,MK067295_AN1640_GVI,none,MK067295
FJ692501,GVII,GVII,GVII,GVII,FJ692501_HKU_Ca035F_GVII,none,FJ692501
KJ196291,Gy,Gy23,Gy23,Gy23,KJ196291_Gira2HS_Could_not_assign_Gy23,none,KJ196291
KJ196290,Gx,Gx15,Gx15,Gx15,KJ196290_HK299_Could_not_assign_Gx15,none,KJ196290
